排名,UP主,UP主头像,标题,视频链接,封面图,作品分布ip,作品类别,评论数量,播放量,点赞数量,弹幕数量
81,托马斯家的,https://i1.hdslb.com/bfs/face/b3da8d3336415f2de8b9c6b2da38f1fc1a511a03.jpg,停更四个月，抽空去生了个娃~,https://b23.tv/BV13C411E79U,http://i2.hdslb.com/bfs/archive/fc00d098ed4c693f0923481f339f1246e6c7400b.jpg,天津,日常,1854,568650,52820,1232
82,伟龙零食俱乐部,https://i1.hdslb.com/bfs/face/f688b4c82f6a987ea9f908a845ca09fcf914749b.jpg,老板被120w播放的动静震惊到怀疑人生，这次应该不会被老板开除了吧？,https://b23.tv/BV1zr421E7cc,http://i1.hdslb.com/bfs/archive/e5b2b42c9c8c46a87b56ec83080207f82e1ca315.jpg,山东,日常,136,965530,134186,1190
83,摄影师Tefi_腾飞,https://i0.hdslb.com/bfs/face/45efd8b170bd4045bb6c296eb9cbd6bc5cdd7b34.jpg,【第一视角】漫展结束意外发现场外夕阳逆光绝美，趁机会抓拍外场COSer还现场返图！,https://b23.tv/BV17M4m1Z7Hi,http://i0.hdslb.com/bfs/archive/cccfff6b6b2a865c100d6fa59735cf07250096b3.jpg,山东,出行,301,606662,105440,445
84,中国日报,https://i1.hdslb.com/bfs/face/53a3ea3b4c173fc30b2ef4677fb9c915e49faaef.jpg,中法元首会晤当天，巴黎交警“法式优雅”开路,https://b23.tv/BV1aZ421E7GW,http://i0.hdslb.com/bfs/archive/f9a145f8e3b51d973d26dcfced13e7d81765e9f3.jpg,,日常,92,1101560,105502,865
85,方芳的快乐生活,https://i2.hdslb.com/bfs/face/6403112ef1655c35eebc639706114d184edb3472.jpg,和草料哥在东北见面啦！一桌子朝鲜族特色美食把他看呆了！,https://b23.tv/BV1sD421P7TB,http://i2.hdslb.com/bfs/archive/43b2fcc154a855c1fe81f93d679ca597df9bd4fd.jpg,吉林,美食侦探,2874,846010,49971,1116
86,小妤不吃鱼cy,https://i0.hdslb.com/bfs/face/57061501f094a11178d049e8133d3d51c8753237.jpg,阿姨好像嗑起来了,https://b23.tv/BV1Cz421U7Mh,http://i0.hdslb.com/bfs/archive/c151539897d860aaf62b55f2f36b487ce2d59cdc.jpg,湖北,日常,617,1578534,230880,1271
87,独立游戏蜥蜴君,https://i0.hdslb.com/bfs/face/d3d7f0f9e2e0eb5abdd5b31cf6592f8927e9e9ca.jpg,上线2天就98%好评如潮！超好玩的多人生存制作类游戏！—《Abiotic Factor》,https://b23.tv/BV1Lr421g7sv,http://i0.hdslb.com/bfs/archive/90f15f1ec1bac1f53d3d0f4ef480692b047b9aa9.jpg,浙江,单机游戏,451,859733,26040,865
88,SEVENTEEN,https://i2.hdslb.com/bfs/face/f73db23ff4508b563937d5ded4c67ed36fb8f238.jpg,[Choreography Video] SEVENTEEN - MAESTRO,https://b23.tv/BV1Sx4y1q73w,http://i1.hdslb.com/bfs/archive/cdd69a4e7a53ee297d93729c9b4ffccb3c7dc87f.jpg,北京,明星舞蹈,6993,339400,43180,1465
89,东土大唐在逃三藏,https://i2.hdslb.com/bfs/face/e0f5fa3b537d76cc59f86766e6b5c94a693b3a18.jpg,《短发女青年双耳离奇失踪事件》,https://b23.tv/BV17M4m1Z7zF,http://i2.hdslb.com/bfs/archive/9f3244ad22ddd8a687486308b9494441fecfe6de.jpg,江苏,搞笑,776,649511,129959,1191
90,肘克冷门信仰玩家,https://i0.hdslb.com/bfs/face/3cf1232ce26ee753f1db204d2923e920642e6a33.jpg,【宁芙小动画】幻想自己有新衣服的鸡块勾,https://b23.tv/BV1Pm411y7PH,http://i0.hdslb.com/bfs/archive/0c12b317633ef6c2369ad83d8f25e4fecca0859f.jpg,广西,手机游戏,755,356816,58310,1878
91,wrizedm,https://i2.hdslb.com/bfs/face/28912f7c3f1593681c96dd39e5bd7efdced1f045.jpg,“质问苍天的那一刻，艺术达到了顶峰！”,https://b23.tv/BV1St421F7Ny,http://i1.hdslb.com/bfs/archive/e5ec6f69d3f5a185d4e85381d3b75012a8f75fdb.jpg,北京,影视剪辑,252,494293,64307,560
92,呓语南俅,https://i1.hdslb.com/bfs/face/2e6bcde01705332a9c35ba4142e5e198f743ee0a.jpg,“骗你的，其实我没想困住你”,https://b23.tv/BV1gt421F7om,http://i1.hdslb.com/bfs/archive/07f7d7af341a67d4968ac0a7b0dfe138e89d3ef2.jpg,广东,单机游戏,127,580697,102003,446
93,鲤鱼Ace,http://i0.hdslb.com/bfs/face/556617d09ef2b968f4bd2d7a0f5d08a206352ec1.jpg,猫司机,https://b23.tv/BV1LD421P7Jg,http://i2.hdslb.com/bfs/archive/9e7e6713c4bd1964dc11af8f59f17d376d1baee1.jpg,吉林,单机游戏,6374,1166784,38500,1795
94,ROG玩家国度俱乐部,https://i2.hdslb.com/bfs/face/fe75b85fa0db59aaa886867b322b2be1f5ac6b1c.jpg,电脑上有这个浏览器，这两个设置一定要做！！！,https://b23.tv/BV1sJ4m1K7pP,http://i0.hdslb.com/bfs/archive/a10212dc2c063bacc274cab07ea03f108cbaec90.jpg,浙江,数码,69,642998,38881,1023
95,鬼叔黍,https://i0.hdslb.com/bfs/face/6d1ff132534fcec857cfbd22b692705b9b8e0edf.jpg,回来了！45个648解放大号战力，拉满各种战力活动，战力玩家最痛快的一集！,https://b23.tv/BV1fr421E7Xm,http://i2.hdslb.com/bfs/archive/63cabf96fbc1edd8d6d5a39e15a9574e02a5493d.jpg,广东,手机游戏,1469,580503,36482,1064
96,佐悠-Leisurely,https://i2.hdslb.com/bfs/face/79fef1e68d835d382d582e227e05a8737515a9ce.jpg,当我一斧3000暴击时，阁下该如何应对！！！,https://b23.tv/BV1j142167tL,http://i1.hdslb.com/bfs/archive/97a6d4baa644b3d8a872e65367729d6e1957e231.jpg,广东,电子竞技,726,665122,70120,576
97,雨琪在芬兰,https://i2.hdslb.com/bfs/face/59f832f5fdb0a01391339ce842e4dae00c2f504a.jpg,芬兰家人和四川妈妈时隔五年终于大团圆！被十四道四川豪华家宴震惊一万年！开箱妈妈带的中国礼物感动连连！,https://b23.tv/BV1g1421r7G7,http://i1.hdslb.com/bfs/archive/85a2ab808d5966bbb688dfe4776cb6d4a585e0ad.jpg,芬兰,美食记录,5105,977646,67511,1353
98,全网搜撒欢,https://i0.hdslb.com/bfs/face/5ac58d225b231349060b127db660c9ead7c36e49.jpg,这串泡泡含妈量极高,https://b23.tv/BV1MH4y1G7p3,http://i1.hdslb.com/bfs/archive/388cf5ff4480ed6e0dd85989061388d76a831810.jpg,吉林,搞笑,362,2963729,213955,1120
99,小柴独家体验,https://i0.hdslb.com/bfs/face/521db5e14a88d37b9fe84d7c28f0c242d14acfc9.jpg,这家酒店体验“手可摘星辰”,https://b23.tv/BV1y1421672h,http://i1.hdslb.com/bfs/archive/477d5e9883d6e1c93a3b70018dba1829304052be.jpg,江苏,出行,89,377537,40892,369
100,狂阿弥_,https://i0.hdslb.com/bfs/face/058bed7faee94ad5ac573d8eb7e31535e4850f41.jpg,200w粉丝了，她只请我吃了一碗面…,https://b23.tv/BV1Zf421m7N1,http://i2.hdslb.com/bfs/archive/9aa4f229e8cb22fa9fa821f85af0ce35e84fbade.jpg,广东,日常,2110,360202,38253,1253
