排名,UP主,UP主头像,标题,视频链接,封面图,作品分布ip,作品类别,评论数量,播放量,点赞数量,弹幕数量
18,粤知一二,https://i1.hdslb.com/bfs/face/45526a0992aa6cb190863f49be6ac2f49f9bd8d9.jpg,长辈刻在DNA里的东西,https://b23.tv/BV1Cm421H7Xt,http://i1.hdslb.com/bfs/archive/b9de9461170b0b0f0d78f9b28f04c504438061d8.jpg,广东,搞笑,3671,1625939,184514,1566
19,叙利亚屑水母,https://i1.hdslb.com/bfs/face/0dcbcf99bd7ba6deff1f9f199c0011b8714fd714.jpg,当我在漫展吹角色的主题曲,https://b23.tv/BV16r421E7k1,http://i0.hdslb.com/bfs/archive/c08a3fc83a522ac777e4c4f6d8dc79911f69e365.jpg,广东,演奏,1965,1190227,161842,4647
20,碎嘴企鹅,https://i2.hdslb.com/bfs/face/c26776af9a1585e569d489c37e1869acbf8fc171.jpg,当你成了受害者：遍地都是《受害者有罪论》,https://b23.tv/BV1HD421K7QQ,http://i0.hdslb.com/bfs/archive/a082ca7229d44aae833c334f55e05f08c2c1fb92.jpg,上海,搞笑,640,610972,141561,1786
21,幻雪HX,https://i0.hdslb.com/bfs/face/3fb34a11f3986a1a13dc94280685af6d126af0a5.jpg,幸福了…幸福疯了！,https://b23.tv/BV1fw4m1C7Kf,http://i2.hdslb.com/bfs/archive/7310976a1a316bf12b892c24fccbedb592c62980.jpg,辽宁,仿妆cos,477,2430181,290979,1421
22,无敌小浓瓜,https://i0.hdslb.com/bfs/face/c530ad22a23c5fb1b19503b60b757c7fd08973a0.jpg,烤肉太烫怎么办,https://b23.tv/BV1er421E7Lt,http://i2.hdslb.com/bfs/archive/2ed4f84513d748d362d1e466f45e334408f9100f.jpg,江苏,亲子,310,2223290,195896,1027
23,何大爷课堂,https://i1.hdslb.com/bfs/face/e83a5998b4d5b983e4130bc5446fcaa01a009632.jpg,考考你，怎么样衔接才完美？,https://b23.tv/BV1ET421Q76n,http://i1.hdslb.com/bfs/archive/f8c3c03ab8c20845fe005c6307204b237b5cea80.jpg,福建,人文历史,372,1905271,213550,712
24,血狼破军,https://i1.hdslb.com/bfs/face/428499a9ba6ffe71e65b1b59895803c77c438136.jpg,【方舟测评#39】 新神已至！满潜专九维什戴尔数据与实战测评,https://b23.tv/BV1AJ4m1J7Z5,http://i2.hdslb.com/bfs/archive/2f9d62fce69d73dd7b77484a3b31695e1246de47.jpg,广东,手机游戏,6801,771449,75834,5303
25,河野华,https://i0.hdslb.com/bfs/face/d098210fe84dff4d895b60c1b9b99c9b6e22081c.jpg,为了COS爱莉希雅卖花，彻底碎掉了…！,https://b23.tv/BV19w4m1C79y,http://i1.hdslb.com/bfs/archive/3e6a63838c79689717b2c18ff0eaa7042f19bb63.jpg,上海,仿妆cos,1543,685839,85146,1545
26,魔改丶老K,https://i1.hdslb.com/bfs/face/72944733ed71427db33c891b9d9526b5e4356a42.jpg,我终于来点燃上海了～,https://b23.tv/BV1Li421k7T4,http://i1.hdslb.com/bfs/archive/ebb4a24cc19089a43bee19d27bb6d82f06967fbc.jpg,上海,特摄,256,1185721,226185,1308
27,麦克阿瑟MacArthur,https://i0.hdslb.com/bfs/face/4e554be985dae649662aacdaf71869b8dba36ff0.jpg,大型纪录片之《漫展显眼包》,https://b23.tv/BV13Z421E7Ce,http://i2.hdslb.com/bfs/archive/0c970fac93857c9b10b6731f4d2f6198769e0864.jpg,广东,搞笑,2709,2916611,505084,2854
28,水果猎人杨晓洋,https://i1.hdslb.com/bfs/face/de5ee14e2c0aa6f8581b184b1d20fde241f46720.jpg,【水果猎人】网络热门水果鉴定57,https://b23.tv/BV1Xw4m1C7Xy,http://i0.hdslb.com/bfs/archive/8be6f91af7f6093e20102bbf3374eaa221599a77.jpg,广东,科学科普,925,1027164,120571,692
29,华晨宇工作室,https://i1.hdslb.com/bfs/face/1bfa31a8b8f13a92b00e5482facc4218e607200f.jpg,华晨宇看日出演唱会15分钟《向阳而生》（日出live版）,https://b23.tv/BV1AD421K7Ha,http://i0.hdslb.com/bfs/archive/9675d9769a9faab06d38221d8973d4ed4e98c460.jpg,山东,音乐现场,18719,971135,79969,16691
30,小砍丶,https://i1.hdslb.com/bfs/face/16822691d65d92ff970719c6644fdb7615df5d0b.jpg,出声就死,https://b23.tv/BV1uz421U7RR,http://i0.hdslb.com/bfs/archive/341f1bf457034ae249ef171e06019ccd0290b0c2.jpg,上海,单机游戏,14281,1570441,189284,2573
31,污龟の黑头,https://i1.hdslb.com/bfs/face/81783662d18ab6eb02f20150d759fac3035d7683.jpg,大型记录片《六十块一个月》,https://b23.tv/BV1qx4y1Y7Xt,http://i0.hdslb.com/bfs/archive/95737bc6f9786e6b1396acae27e3cc24a75d6464.jpg,江西,搞笑,1571,3954074,236142,4157
32,美术饭,https://i0.hdslb.com/bfs/face/00e18fa90ae6a1655084bb22176bf416109d5f58.jpg,美术生的联考物理外挂,https://b23.tv/BV1PE421L7rF,http://i1.hdslb.com/bfs/archive/47b9050f5d156a71cce4829d30a6ca4c881f6fb1.jpg,河南,绘画,390,1890333,165743,2259
33,伊水yis,https://i2.hdslb.com/bfs/face/4e847387595f44555c0cb349c55882347709702e.jpg,看好了！一生只能使用一次的 白手起家β,https://b23.tv/BV1Hi421k7z8,http://i1.hdslb.com/bfs/archive/a46d7aa9a8021bcf7b8df1d1153c35e4c2b4054d.jpg,山东,手机游戏,2695,915393,143972,3206
34,凳子凳子_,https://i2.hdslb.com/bfs/face/64ecb75c42979112b3a2b694ac8d95ccd07a2fe5.jpg,宿舍里真正的狠人,https://b23.tv/BV18b421878p,http://i0.hdslb.com/bfs/archive/43bd4f50c6e2f62ad73e6a3e411e9912ff84b176.jpg,四川,搞笑,609,2047530,208715,2357
35,G2电子竞技俱乐部,https://i1.hdslb.com/bfs/face/ad8f8ee057f7a82ddb69b3ac5ce2742468cb3563.jpg,【LOL】2024MSI宣传片 | 不成都便成兔,https://b23.tv/BV1im421W7sR,http://i1.hdslb.com/bfs/archive/9294928d9a3a86345db79ae5882947cd9c733917.jpg,四川,电子竞技,1085,938011,85723,2442
36,人民航天,https://i1.hdslb.com/bfs/face/5d77d093292585683bd59e49b969b8d7d9c1ef06.jpg,在月球建立直辖市的可能性，13秒出你千万别深想,https://b23.tv/BV1Rf421U7A3,http://i2.hdslb.com/bfs/archive/bd3aa82be0d781fb05a5a4cca673943bc51aebaf.jpg,河南,科学科普,2348,644977,107305,4716
37,大猫饲养员breeder,https://i2.hdslb.com/bfs/face/57dad1dfa9494c335ca0622aa12ea1f7e440a70c.jpg,这下谁还分得清老虎和猫啊？,https://b23.tv/BV1or421E7V2,http://i1.hdslb.com/bfs/archive/a674f5576e193581be19dd4982b7419026fd2e4c.jpg,河南,野生动物,1394,1367376,139567,2249
